"sample.depths","sample.ages","upland.sum","Carya","cf..Rhus","Fraxinus","Ilex","Myrica","Nyssa","Pinus","Quercus","Salix","Ulmus","Asteraceae","Chenopodiaceae.Amaranthaceae","Cyperaceae","Poaceae","Polygonum","Smilax","Xyris"
2,21,490,1,0,0,74,152,0,23,133,8,0,37,23,3,13,0,0,23
15,357,356,0,1,0,230,14,0,9,28,0,0,42,15,1,8,1,1,6
30,737,419,0,1,0,109,29,4,11,70,6,0,49,127,0,8,1,1,3
45,947,397,0,0,1,27,86,2,16,90,0,0,31,114,1,19,0,0,10
60,1186,443,0,0,0,23,59,7,9,119,14,0,28,145,1,15,0,0,23
75,2299,70,1,1,0,1,11,3,3,3,1,1,9,12,0,22,0,2,0
105,6733,68,0,0,0,2,13,0,18,15,1,1,4,2,2,10,0,0,0
120,8168,81,0,0,0,4,38,1,3,2,2,0,16,1,5,9,0,0,0
135,9422,419,0,0,0,2,55,0,139,17,58,2,9,6,16,112,0,3,0
150,NA,252,0,0,0,9,24,4,91,13,73,2,9,4,17,6,0,0,0
