"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum","Alnus","Betula","Carya","Ericaceae","Fraxinus","Juglans","Juniperus","Larix","Ostrya","Picea","Pinus.banksiana","Pinus.strobus","Pinus.undiff.","Quercus","Tilia","Tsuga","Ulmus","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae.Amaranthaceae","Eupatorium","Poaceae","Rosaceae","Thalictrum"
2,52,293,0,7,6,75,0,0,0,0,0,0,0,0,17,69,86,6,1,25,0,0,0,1,0,0,0,0,0,0
10,433,468,1,0,3,73,0,0,0,0,0,0,0,0,16,157,173,12,1,28,0,1,0,3,0,0,0,0,0,0
20,904,484,1,3,3,83,0,0,0,0,0,0,0,0,28,157,185,11,2,9,0,1,0,1,0,0,0,0,0,0
30,1368,473,0,2,6,68,0,0,0,0,0,0,0,0,10,172,182,5,0,25,0,1,0,2,0,0,0,0,0,0
40,1819,431,1,1,3,106,0,0,0,1,0,0,0,0,16,126,142,11,0,14,0,3,0,7,0,0,0,0,0,0
50,2255,481,2,1,5,53,0,0,0,6,0,0,0,0,22,161,183,7,0,38,0,1,0,2,0,0,0,0,0,0
60,2670,464,1,0,5,78,0,0,0,6,0,0,0,0,38,133,171,10,0,16,0,5,0,1,0,0,0,0,0,0
70,3061,475,2,2,0,62,0,0,0,1,0,0,0,1,37,149,186,9,3,17,0,5,0,1,0,0,0,0,0,0
80,3424,510,2,7,7,45,0,0,0,3,0,0,0,6,34,177,211,2,0,5,0,3,0,6,0,2,0,0,0,0
90,3757,487,2,9,10,55,0,0,1,3,0,0,0,3,41,147,188,11,0,2,0,1,0,10,0,3,1,0,0,0
100,4060,472,2,11,7,64,0,0,6,2,0,0,2,7,38,137,175,12,0,0,0,3,0,4,0,1,1,0,0,0
110,4335,296,2,15,3,35,0,0,2,3,0,0,3,7,0,0,203,9,2,4,0,6,0,2,0,0,0,0,0,0
120,4585,485,3,9,5,56,0,0,1,2,0,0,3,4,64,125,189,17,1,2,1,1,0,1,0,1,0,0,0,0
130,4811,466,6,16,5,49,0,0,4,1,0,0,2,3,61,118,179,11,0,2,3,1,0,2,0,0,0,1,2,0
140,5016,447,7,9,5,59,0,0,7,1,0,0,3,7,55,105,160,16,5,3,3,1,0,1,0,0,0,0,0,0
150,5201,461,1,9,5,65,0,0,2,2,0,0,1,8,64,104,168,15,2,4,2,2,0,5,0,1,1,0,0,0
165,5460,450,1,11,5,59,1,1,4,1,0,0,1,4,39,122,161,14,2,3,4,6,0,2,0,2,4,1,0,2
170,5553,484,0,6,2,35,0,0,5,0,0,0,1,1,64,137,201,19,3,0,3,5,0,2,0,0,0,0,0,0
175,5654,476,0,6,2,29,0,0,3,1,0,0,4,0,48,153,201,13,1,3,5,2,0,2,1,0,2,0,0,0
180,5767,486,5,10,4,37,0,0,6,1,1,0,1,3,81,111,192,10,3,15,2,0,0,1,0,1,2,0,0,0
185,5895,421,3,11,2,50,0,0,4,0,0,0,5,5,40,102,142,29,2,9,7,2,0,5,0,1,1,1,0,0
190,6041,517,3,3,2,34,1,1,0,0,0,0,0,0,76,147,223,12,1,2,6,2,0,3,0,1,0,0,0,0
195,6208,476,3,9,1,27,0,0,4,0,0,0,2,0,58,135,193,21,2,5,4,5,0,3,0,4,0,0,0,0
200,6395,462,0,10,1,44,1,1,1,4,0,0,2,2,74,102,176,25,3,0,5,4,0,4,0,2,1,0,0,0
210,6819,526,0,9,4,18,0,0,2,4,0,0,1,7,96,132,228,17,0,0,4,4,0,0,0,0,0,0,0,0
220,7298,534,0,6,1,26,1,0,5,0,0,0,7,3,65,189,204,12,0,0,6,6,0,1,1,0,0,0,1,0
230,7818,533,0,0,0,16,1,0,1,1,0,0,3,3,88,156,244,11,1,0,6,1,0,0,0,1,0,0,0,0
240,8362,508,7,5,1,26,2,0,2,2,0,0,5,1,93,119,212,13,1,0,9,3,0,3,0,2,2,0,0,0
250,8916,548,3,4,2,50,0,0,1,4,0,0,5,4,83,115,250,8,1,0,6,4,1,4,1,2,0,0,0,0
260,9465,454,3,3,1,64,0,0,4,0,0,0,2,3,98,71,169,7,0,0,12,4,0,7,0,3,3,0,0,0
270,9993,442,0,4,11,29,0,1,4,0,0,1,5,0,139,26,165,9,0,0,12,7,0,13,0,11,4,0,1,0
280,10490,449,2,10,6,63,0,0,3,2,0,0,0,14,139,15,154,12,1,0,20,3,0,4,0,1,0,0,0,0
290,10965,504,3,4,2,20,0,0,1,6,0,0,0,28,202,4,206,7,0,0,10,4,0,5,0,2,0,0,0,0
300,NA,435,0,12,1,11,0,0,15,4,0,0,0,70,139,3,142,6,0,0,13,2,0,9,0,4,4,0,0,0
305,NA,249,0,5,3,32,0,0,22,4,0,0,2,122,14,0,14,8,0,0,11,2,0,9,0,1,0,0,0,0
