"sample.depths","sample.ages","Acer.rubrum","Acer.saccharum","Alnus","Ambrosia","Artemisia","Betula","Campanulaceae","Ostrya.Carpinus","Carya","Celtis","Cephalanthus","Chenopodiaceae.Amaranthaceae","Asteraceae.subf..Cichorioideae","Asteraceae.subf..Asteroideae.undiff.","Cornus","Corylus","Cyperaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Poaceae","Juglans.cinerea","Juglans.nigra","Liquidambar","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Polygala","Polygonum.amphibium.type","Polygonum.lapathifolium.type","Quercus","Rumex","Salix","Tilia","Tsuga","Ulmus","Apiaceae"
23,538,0,0.00185873605947955,0,0.150557620817844,0.00557620817843866,0.00371747211895911,0,0,0.00185873605947955,0.00371747211895911,0.00743494423791822,0.0148698884758364,0.00929368029739777,0,0,0.00185873605947955,0.117100371747212,0,0.00371747211895911,0,0.386617100371747,0,0.00371747211895911,0,0,0.00557620817843866,0.00185873605947955,0.016728624535316,0.00185873605947955,0.00557620817843866,0,0,0,0.226765799256506,0.00371747211895911,0.00743494423791822,0,0,0.016728624535316,0.00185873605947955
30,711,0,0.00974658869395711,0.00194931773879142,0.0779727095516569,0.00584795321637427,0.00779727095516569,0,0.00389863547758285,0.00389863547758285,0.00584795321637427,0.00194931773879142,0.01364522417154,0.00779727095516569,0,0,0,0.191033138401559,0.00194931773879142,0.00194931773879142,0.00389863547758285,0.216374269005848,0,0.00194931773879142,0,0,0.0175438596491228,0.00584795321637427,0.157894736842105,0,0.01364522417154,0,0.00194931773879142,0,0.220272904483431,0,0.0155945419103314,0,0.00389863547758285,0.00584795321637427,0
40,959,0,0.00261780104712042,0,0.0130890052356021,0.00261780104712042,0,0,0.00261780104712042,0.0104712041884817,0,0.00523560209424084,0.00261780104712042,0.0104712041884817,0,0,0,0.25130890052356,0,0.00261780104712042,0.00523560209424084,0.193717277486911,0,0,0,0,0.0340314136125654,0.0235602094240838,0.287958115183246,0,0.00261780104712042,0,0,0.00261780104712042,0.143979057591623,0,0,0,0,0.00261780104712042,0
60,1456,0,0.0121951219512195,0.00609756097560976,0.0142276422764228,0.00609756097560976,0.0040650406504065,0.00203252032520325,0,0.0101626016260163,0.00203252032520325,0,0.00203252032520325,0,0.00203252032520325,0,0,0.166666666666667,0.0040650406504065,0.008130081300813,0,0.186991869918699,0.00203252032520325,0,0,0.00203252032520325,0.0711382113821138,0.0142276422764228,0.345528455284553,0,0.00203252032520325,0.00203252032520325,0,0,0.123983739837398,0,0.00203252032520325,0.00203252032520325,0.0040650406504065,0.00203252032520325,0
80,1952,0,0.00982800982800983,0,0.0147420147420147,0.00491400491400491,0.00491400491400491,0,0,0.00737100737100737,0,0.00245700245700246,0.00491400491400491,0,0,0,0,0.113022113022113,0,0.00245700245700246,0.00245700245700246,0.115479115479115,0,0,0,0,0.0982800982800983,0.0245700245700246,0.501228501228501,0,0.00737100737100737,0,0,0,0.0786240786240786,0,0,0,0.00245700245700246,0.00491400491400491,0
82,2002,0.00110619469026549,0.00221238938053097,0.00110619469026549,0.00663716814159292,0.00110619469026549,0.00663716814159292,0,0.00663716814159292,0.0088495575221239,0,0.00110619469026549,0.00553097345132743,0.00663716814159292,0,0,0,0.0243362831858407,0.0154867256637168,0.00442477876106195,0,0.63716814159292,0.00110619469026549,0.00110619469026549,0,0,0.0276548672566372,0.0154867256637168,0.0464601769911504,0,0.00442477876106195,0,0,0,0.165929203539823,0,0,0,0.00110619469026549,0.00774336283185841,0
87,2126,0,0.00523560209424084,0.00104712041884817,0.0104712041884817,0.0031413612565445,0.006282722513089,0,0.00418848167539267,0.0104712041884817,0,0,0,0.00418848167539267,0,0.00209424083769634,0,0.0272251308900524,0.006282722513089,0.00418848167539267,0.0031413612565445,0.633507853403141,0.00104712041884817,0.0031413612565445,0,0,0.031413612565445,0.00837696335078534,0.0397905759162304,0,0.00418848167539267,0,0,0,0.17696335078534,0,0.00104712041884817,0,0,0.0115183246073298,0.00104712041884817
97,2374,0,0.00297176820208024,0,0.0148588410104012,0.00445765230312036,0.0074294205052006,0,0.00891530460624071,0.0178306092124814,0,0,0.00297176820208024,0.00297176820208024,0.00148588410104012,0,0,0.025260029717682,0.0104011887072808,0.0163447251114413,0.00148588410104012,0.508172362555721,0.0074294205052006,0.00148588410104012,0,0.00148588410104012,0.0475482912332838,0.0267459138187221,0.0430906389301634,0,0.0074294205052006,0,0,0,0.225854383358098,0,0.00445765230312036,0,0.00148588410104012,0.0074294205052006,0
104.5,NA,0,0.006006006006006,0,0.009009009009009,0.012012012012012,0.006006006006006,0,0.003003003003003,0.009009009009009,0,0,0.003003003003003,0.015015015015015,0,0,0,0.036036036036036,0.006006006006006,0.012012012012012,0.003003003003003,0.042042042042042,0.003003003003003,0.009009009009009,0.003003003003003,0,0.072072072072072,0.036036036036036,0.321321321321321,0,0.009009009009009,0,0,0,0.342342342342342,0,0.006006006006006,0.003003003003003,0,0.033033033033033,0
107,NA,0,0.004,0.004,0.024,0.008,0,0,0.004,0.012,0,0,0,0.012,0,0,0,0.048,0,0.004,0,0.024,0,0.004,0.004,0.004,0.096,0.012,0.616,0,0.004,0,0,0,0.092,0,0,0,0.004,0.02,0
