"sample.depths","sample.ages","upland.sum","Abies","Ambrosia.type","Artemisia","Betula","Amaranthaceae.undiff.","Asteraceae.undiff.","Cupressaceae","Cyperaceae","Ericaceae","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Ulmus","Alnus","Poaceae","Acer.saccharum","Pinus.banksiana.P..resinosa","Acer.negundo","Corylus","Platanus","Tilia","Fraxinus.nigra","Xanthium","Dalea","Iva","Carya","Salix","Juglans","Acer.rubrum","Thalictrum","Populus.tremuloides","Fraxinus.undiff.","Populus.balsamifera","Fraxinus.pennsylvanica","Sarcobatus.vermiculatus","Humulus","Urtica","Rumex","Celtis","Ranunculus","Populus.undiff.","Rhamnus","Fagus"
145,1999,257,2,3,2,25,3,2,11,17,2,2,2,1,81,46,14,1,11,4,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,2086,259,2,3,1,35,0,3,1,11,0,4,4,1,84,54,9,5,9,5,0,15,1,6,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,2260,362,5,5,4,13,3,0,4,5,0,0,1,3,145,70,6,0,3,1,0,88,0,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,3130,321,0,7,9,28,4,5,5,9,2,0,1,6,121,60,14,1,10,5,0,27,1,0,0,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,3304,204,0,3,2,15,1,0,1,9,1,0,1,0,82,46,13,1,1,1,0,21,0,1,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,3652,197,0,2,3,4,0,3,8,5,1,0,0,0,63,58,20,3,1,0,0,21,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,3739,250,0,10,6,36,3,3,5,21,0,0,2,0,40,44,37,4,13,4,0,11,0,2,1,0,3,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
350,3782,340,1,6,8,44,2,4,40,45,0,4,1,0,31,25,64,7,20,7,1,8,2,3,0,2,3,0,0,0,1,1,0,4,0,0,1,5,0,0,0,0,0,0,0,0,0,0
355,3943,242,0,7,10,38,3,1,12,11,0,1,3,0,2,23,69,9,25,7,0,10,0,1,0,0,1,0,0,1,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,4588,396,0,8,7,15,1,2,0,2,0,0,0,1,4,7,24,1,16,300,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
415,5877,305,0,6,9,18,1,3,3,4,0,0,0,0,4,12,32,4,17,168,0,16,0,1,0,1,0,0,0,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
435,6521,483,0,31,32,25,18,7,2,5,0,0,16,2,4,22,120,17,33,94,0,19,0,8,0,2,6,0,0,2,0,10,3,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0
455,7165,204,0,0,0,19,0,0,3,0,0,0,11,1,13,21,86,15,15,0,0,6,0,7,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,7810,311,0,48,22,27,17,7,5,2,0,0,1,4,2,16,43,13,15,40,0,36,0,3,0,1,0,0,0,6,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
515,9504,339,0,22,20,37,15,4,36,2,0,0,4,0,38,6,21,15,37,18,0,43,0,7,0,0,3,0,0,0,1,4,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
535,10690,357,2,12,18,78,3,2,0,4,0,2,7,8,1,30,22,33,20,8,0,80,3,1,0,1,5,0,0,3,3,1,0,0,1,0,2,0,0,6,0,0,1,0,0,0,0,0
545,10986,464,2,8,20,54,2,0,4,5,0,12,3,78,2,50,13,19,3,4,0,149,0,13,1,0,5,0,0,0,4,4,3,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0
550,11133,562,6,4,23,84,0,1,1,15,0,14,4,164,2,21,20,26,8,3,4,132,0,5,0,0,15,0,0,0,1,3,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
555,11281,147,0,2,4,14,0,1,0,5,0,6,2,38,1,12,6,5,2,9,0,32,0,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
560,11429,258,1,1,6,15,1,0,1,14,0,7,4,100,28,17,7,15,1,6,0,12,1,3,0,0,12,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
575,NA,364,2,2,26,25,1,1,0,11,0,1,2,216,6,22,6,3,6,10,0,2,0,2,0,0,10,0,0,0,0,4,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0
615,NA,262,0,12,22,2,2,0,1,9,0,13,0,173,0,7,6,2,1,5,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
635,NA,220,0,9,15,8,2,0,8,46,0,0,1,73,0,3,2,3,2,13,0,2,0,1,0,0,6,0,0,1,1,6,0,0,3,0,1,1,0,5,1,2,0,0,0,5,0,0
